Model,SegmentType,Segment,Policies,Claims,ObservedClaimAmount,PredictedClaimAmount,ObservedSeverity,PredictedSeverity,ObservedToExpectedRatio,EligibleForComparison
Constant severity baseline,DrivAgeBand,70-79,256,271,502147.15,614633.7076288074,1852.9415129151291,2268.021061360913,0.8169860256074,True
Constant severity baseline,DrivAgeBand,80+,93,97,370058.97,219998.04295200855,3815.040927835051,2268.021061360913,1.6821011906943484,False
Constant severity baseline,VehAgeBand,0,212,225,401782.59,510304.7388062054,1785.7004000000002,2268.021061360913,0.7873385439059816,True
Constant severity baseline,VehAgeBand,1-2,877,941,2524626.15,2134207.818740619,2682.9183315621676,2268.021061360913,1.1829336055425774,True
Constant severity baseline,VehAgeBand,3-5,1023,1083,2626129.57,2456266.809453869,2424.865715604801,2268.021061360913,1.0691548490955258,True
Constant severity baseline,VehAgeBand,6-10,1473,1567,3477162.4699999997,3553989.0031525507,2218.9932801531586,2268.021061360913,0.9783830132607607,True
Constant severity baseline,VehAgeBand,11-15,1091,1136,2003567.03,2576471.925705997,1763.7033714788734,2268.021061360913,0.7776397677808924,True
Constant severity baseline,VehAgeBand,16-20,282,296,453860.89,671334.2341628302,1533.3138175675676,2268.021061360913,0.6760580153728871,True
Constant severity baseline,VehAgeBand,21+,31,31,43701.18,70308.6529021883,1409.7154838709678,2268.021061360913,0.6215619016452502,False
Constant severity baseline,BonusMalusBand,Below 60,2760,2894,6064556.13,6563652.951578482,2095.5618970283344,2268.021061360913,0.9239605102127688,True
Constant severity baseline,BonusMalusBand,60-69,676,718,1943567.81,1628439.1220571354,2706.918955431755,2268.021061360913,1.1935157929298434,True
Constant severity baseline,BonusMalusBand,70-79,413,439,978444.0399999999,995661.2459374408,2228.8019134396354,2268.021061360913,0.9827077673177583,True
Constant severity baseline,BonusMalusBand,80-89,305,319,653920.47,723498.7185741313,2049.9074294670845,2268.021061360913,0.9038308613576319,True
Constant severity baseline,BonusMalusBand,90-99,357,381,793787.77,864116.0243785079,2083.432467191601,2268.021061360913,0.9186124867559429,True
Constant severity baseline,BonusMalusBand,100-109,299,335,686900.29,759787.0555559058,2050.448626865672,2268.021061360913,0.9040694823333395,True
Constant severity baseline,BonusMalusBand,110-129,154,165,362278.04,374223.47512455063,2195.624484848485,2268.021061360913,0.9680794073098302,True
Constant severity baseline,BonusMalusBand,130-149,15,16,29947.32,36288.336981774606,1871.7075,2268.021061360913,0.8252601935172915,False
Constant severity baseline,BonusMalusBand,150+,10,12,17428.010000000002,27216.252736330956,1452.3341666666668,2268.021061360913,0.6403530334922032,False
